username,score,hits,misses,timestampEpoch,level
CaptainRecursion4746,39,6,7,1768017611002,Rabbit
TeaTimeTim7054,6,3,8,1757078092002,Rabbit
WhileLoopWill4674,151,16,3,1765253631002,Rabbit
BinaryDormouse3779,104,14,12,1770733322002,Rabbit
PixelPirate4723,247,25,1,1770638612002,Rabbit
TeaTimeTim7903,159,18,7,1755376628002,Rabbit
QueenOfBugs8802,-3,0,1,1767884419002,Rabbit
ArraySlayer4397,133,16,9,1766701438002,Rabbit
CheshireByte1496,-45,0,15,1756955232002,Rabbit
TeaTimeTim3101,264,27,2,1765421358002,Rabbit
WhiteRabbit422040,135,18,15,1769916590002,Rabbit
StackOverflowed6471,142,16,6,1759696780002,Rabbit
LogicLlama405,132,18,16,1761408093002,Rabbit
NullPointerNed2751,207,21,1,1760180505002,Rabbit
SirSegFault460,243,27,9,1757504475002,Rabbit
NullPointerNed6540,170,23,20,1767683863002,Rabbit
MadHatter348,87,12,11,1761776371002,Rabbit
HeapHero8858,239,26,7,1764574324002,Rabbit
WhiteRabbit428291,150,15,0,1758298145002,Rabbit
CodeCrumpet6503,16,7,18,1761986391002,Rabbit
ByteMeAlice892,17,2,1,1760840260002,Rabbit
ArraySlayer3060,111,15,13,1762431196002,Rabbit
SirSegFault3847,267,30,11,1764891717002,Rabbit
CodeCrumpet4416,63,12,19,1763131142002,Rabbit
NullPointerNed7647,-10,5,20,1755427690002,Rabbit
CaptainRecursion4719,184,19,2,1763805914002,Rabbit
CheshireByte9267,64,10,12,1768370820002,Rabbit
WhiteRabbit427917,243,30,19,1768781805002,Rabbit
StackOverflowed9290,121,16,13,1763432343002,Rabbit
CaptainRecursion2763,135,15,5,1758287854002,Rabbit
SirSegFault2481,101,11,3,1759175451002,Rabbit
HeapHero8568,236,26,8,1769596012002,Rabbit
TeaTimeTim6766,160,16,0,1759520945002,Rabbit
LambdaLad4781,182,20,6,1766129422002,Rabbit
DebugDuchess327,229,25,7,1763790992002,Rabbit
SirSegFault8519,110,17,20,1763310881002,Rabbit
CheshireByte3716,-38,1,16,1755344228002,Rabbit
NullPointerNed2189,116,14,8,1761784294002,Rabbit
NullPointerNed7652,215,26,15,1765353680002,Rabbit
LogicLlama9879,41,5,3,1768500915002,Rabbit
LambdaLad1543,71,8,3,1763687085002,Rabbit
ArraySlayer8368,180,24,20,1768959008002,Rabbit
PixelPirate3623,138,18,14,1758656670002,Rabbit
LogicLlama1699,264,27,2,1756580989002,Rabbit
StackOverflowed6151,77,8,1,1756819862002,Rabbit
QueenOfBugs7949,277,28,1,1763188265002,Rabbit
CheshireByte8638,123,15,9,1761007707002,Rabbit
HeapHero4701,229,25,7,1757093941002,Rabbit
ArraySlayer6866,74,8,2,1769728896002,Rabbit
ByteMeAlice5498,32,5,6,1762305326002,Rabbit
PixelPirate1539,24,3,2,1769686339002,Rabbit
NullPointerNed4626,82,13,16,1768179909002,Rabbit
BinaryDormouse5990,22,7,16,1761873356002,Rabbit
SirSegFault1683,191,23,13,1766310444002,Rabbit
ProfessorPivot5274,246,30,18,1756934502002,Rabbit
TeaTimeTim7073,208,22,4,1763426255002,Rabbit
LogicLlama2381,3,3,9,1762612272002,Rabbit
CaptainRecursion3809,129,18,17,1756946875002,Rabbit
LambdaLad2400,-22,2,14,1764228229002,Rabbit
QueenOfBugs483,65,8,5,1763279478002,Rabbit
DebugDuchess3733,-17,1,9,1761339503002,Rabbit
LambdaLad9141,-33,0,11,1768543823002,Rabbit
WhileLoopWill654,-16,2,12,1760726336002,Rabbit
TeaTimeTim7740,2,2,6,1760554793002,Rabbit
ProfessorPivot3488,75,12,15,1769603385002,Rabbit
PixelPirate4239,200,23,10,1757668183002,Rabbit
CheshireByte360,218,26,14,1770486188002,Rabbit
WhileLoopWill5556,231,27,13,1759940226002,Rabbit
ProfessorPivot1565,-5,1,5,1762003115002,Rabbit
ArraySlayer8795,103,16,19,1767141935002,Rabbit
QueenOfBugs7371,114,15,12,1767511106002,Rabbit
CaptainRecursion9595,90,12,10,1764619581002,Rabbit
QueenOfBugs6170,94,13,12,1756408065002,Rabbit
LambdaLad626,51,6,3,1763947421002,Rabbit
WhiteRabbit425172,54,6,2,1761772744002,Rabbit
